"","Cause","State","Year","Deaths","Population","Crude.Rate","Nat_Pop","Nat_Mort","Nat_M_Rate","Comp_Rate","Comp_Cat"
"1","Infections and Parasites","AL",1999,1092,4430141,24.6,279040168,2391143,8.57,3,"1<x<=4"
"2","Infections and Parasites","AL",2000,1188,4447100,26.7,281421906,2403035,8.54,3,"1<x<=4"
"3","Infections and Parasites","AL",2001,1211,4467634,27.1,284968955,2416093,8.48,3,"1<x<=4"
"4","Infections and Parasites","AL",2002,1215,4480089,27.1,287625193,2443141,8.49,3,"1<x<=4"
"5","Infections and Parasites","AL",2003,1350,4503491,30,290107933,2448007,8.44,4,"1<x<=4"
"6","Infections and Parasites","AL",2004,1251,4530729,27.6,292805298,2397325,8.19,3,"1<x<=4"
"7","Infections and Parasites","AL",2005,1303,4569805,28.5,295516599,2447782,8.28,3,"1<x<=4"
"8","Infections and Parasites","AL",2006,1312,4628981,28.3,298379912,2425990,8.13,3,"1<x<=4"
"9","Infections and Parasites","AL",2007,1241,4672840,26.6,301231207,2423460,8.05,3,"1<x<=4"
"10","Infections and Parasites","AL",2008,1385,4718206,29.4,304093966,2471723,8.13,4,"1<x<=4"
"11","Infections and Parasites","AL",2009,1381,4757938,29,306771529,2436924,7.94,4,"1<x<=4"
"12","Infections and Parasites","AL",2010,1358,4779736,28.4,308745538,2468186,7.99,4,"1<x<=4"
"13","Infections and Parasites","AK",1999,61,624779,9.8,279040168,2391143,8.57,1,"x<=1"
"14","Infections and Parasites","AK",2000,51,626932,8.1,281421906,2403035,8.54,1,"x<=1"
"15","Infections and Parasites","AK",2001,58,633714,9.2,284968955,2416093,8.48,1,"x<=1"
"16","Infections and Parasites","AK",2002,67,642337,10.4,287625193,2443141,8.49,1,"x<=1"
"17","Infections and Parasites","AK",2003,61,648414,9.4,290107933,2448007,8.44,1,"x<=1"
"18","Infections and Parasites","AK",2004,53,659286,8,292805298,2397325,8.19,1,"x<=1"
"19","Infections and Parasites","AK",2005,68,666946,10.2,295516599,2447782,8.28,1,"x<=1"
"20","Infections and Parasites","AK",2006,65,675302,9.6,298379912,2425990,8.13,1,"x<=1"
"21","Infections and Parasites","AK",2007,78,680300,11.5,301231207,2423460,8.05,1,"x<=1"
"22","Infections and Parasites","AK",2008,70,687455,10.2,304093966,2471723,8.13,1,"x<=1"
"23","Infections and Parasites","AK",2009,73,698895,10.4,306771529,2436924,7.94,1,"x<=1"
"24","Infections and Parasites","AK",2010,88,710231,12.4,308745538,2468186,7.99,2,"1<x<=4"
"25","Infections and Parasites","AZ",1999,789,5023823,15.7,279040168,2391143,8.57,2,"1<x<=4"
"26","Infections and Parasites","AZ",2000,779,5130632,15.2,281421906,2403035,8.54,2,"1<x<=4"
"27","Infections and Parasites","AZ",2001,843,5273477,16,284968955,2416093,8.48,2,"1<x<=4"
"28","Infections and Parasites","AZ",2002,967,5396255,17.9,287625193,2443141,8.49,2,"1<x<=4"
"29","Infections and Parasites","AZ",2003,1097,5510364,19.9,290107933,2448007,8.44,2,"1<x<=4"
"30","Infections and Parasites","AZ",2004,1056,5652404,18.7,292805298,2397325,8.19,2,"1<x<=4"
"31","Infections and Parasites","AZ",2005,1097,5839077,18.8,295516599,2447782,8.28,2,"1<x<=4"
"32","Infections and Parasites","AZ",2006,1281,6029141,21.2,298379912,2425990,8.13,3,"1<x<=4"
"33","Infections and Parasites","AZ",2007,1194,6167681,19.4,301231207,2423460,8.05,2,"1<x<=4"
"34","Infections and Parasites","AZ",2008,1183,6280362,18.8,304093966,2471723,8.13,2,"1<x<=4"
"35","Infections and Parasites","AZ",2009,1311,6343154,20.7,306771529,2436924,7.94,3,"1<x<=4"
"36","Infections and Parasites","AZ",2010,1249,6392017,19.5,308745538,2468186,7.99,2,"1<x<=4"
"37","Infections and Parasites","AR",1999,702,2651860,26.5,279040168,2391143,8.57,3,"1<x<=4"
"38","Infections and Parasites","AR",2000,636,2673400,23.8,281421906,2403035,8.54,3,"1<x<=4"
"39","Infections and Parasites","AR",2001,719,2691571,26.7,284968955,2416093,8.48,3,"1<x<=4"
"40","Infections and Parasites","AR",2002,771,2705927,28.5,287625193,2443141,8.49,3,"1<x<=4"
"41","Infections and Parasites","AR",2003,768,2724816,28.2,290107933,2448007,8.44,3,"1<x<=4"
"42","Infections and Parasites","AR",2004,739,2749686,26.9,292805298,2397325,8.19,3,"1<x<=4"
"43","Infections and Parasites","AR",2005,784,2781097,28.2,295516599,2447782,8.28,3,"1<x<=4"
"44","Infections and Parasites","AR",2006,747,2821761,26.5,298379912,2425990,8.13,3,"1<x<=4"
"45","Infections and Parasites","AR",2007,719,2848650,25.2,301231207,2423460,8.05,3,"1<x<=4"
"46","Infections and Parasites","AR",2008,773,2874554,26.9,304093966,2471723,8.13,3,"1<x<=4"
"47","Infections and Parasites","AR",2009,786,2896843,27.1,306771529,2436924,7.94,3,"1<x<=4"
"48","Infections and Parasites","AR",2010,731,2915918,25.1,308745538,2468186,7.99,3,"1<x<=4"
"49","Infections and Parasites","CA",1999,4443,33499204,13.3,279040168,2391143,8.57,2,"1<x<=4"
"50","Infections and Parasites","CA",2000,4137,33871648,12.2,281421906,2403035,8.54,1,"x<=1"
"51","Infections and Parasites","CA",2001,4353,34479458,12.6,284968955,2416093,8.48,1,"x<=1"
"52","Infections and Parasites","CA",2002,4559,34871843,13.1,287625193,2443141,8.49,2,"1<x<=4"
"53","Infections and Parasites","CA",2003,4521,35253159,12.8,290107933,2448007,8.44,2,"1<x<=4"
"54","Infections and Parasites","CA",2004,4799,35574576,13.5,292805298,2397325,8.19,2,"1<x<=4"
"55","Infections and Parasites","CA",2005,4897,35827943,13.7,295516599,2447782,8.28,2,"1<x<=4"
"56","Infections and Parasites","CA",2006,4960,36021202,13.8,298379912,2425990,8.13,2,"1<x<=4"
"57","Infections and Parasites","CA",2007,4856,36250311,13.4,301231207,2423460,8.05,2,"1<x<=4"
"58","Infections and Parasites","CA",2008,5085,36604337,13.9,304093966,2471723,8.13,2,"1<x<=4"
"59","Infections and Parasites","CA",2009,5220,36961229,14.1,306771529,2436924,7.94,2,"1<x<=4"
"60","Infections and Parasites","CA",2010,5090,37253956,13.7,308745538,2468186,7.99,2,"1<x<=4"
"61","Infections and Parasites","CO",1999,533,4226018,12.6,279040168,2391143,8.57,1,"x<=1"
"62","Infections and Parasites","CO",2000,533,4301261,12.4,281421906,2403035,8.54,1,"x<=1"
"63","Infections and Parasites","CO",2001,568,4425687,12.8,284968955,2416093,8.48,2,"1<x<=4"
"64","Infections and Parasites","CO",2002,562,4490406,12.5,287625193,2443141,8.49,1,"x<=1"
"65","Infections and Parasites","CO",2003,676,4528732,14.9,290107933,2448007,8.44,2,"1<x<=4"
"66","Infections and Parasites","CO",2004,636,4575013,13.9,292805298,2397325,8.19,2,"1<x<=4"
"67","Infections and Parasites","CO",2005,620,4631888,13.4,295516599,2447782,8.28,2,"1<x<=4"
"68","Infections and Parasites","CO",2006,643,4720423,13.6,298379912,2425990,8.13,2,"1<x<=4"
"69","Infections and Parasites","CO",2007,641,4803868,13.3,301231207,2423460,8.05,2,"1<x<=4"
"70","Infections and Parasites","CO",2008,671,4889730,13.7,304093966,2471723,8.13,2,"1<x<=4"
"71","Infections and Parasites","CO",2009,748,4972195,15,306771529,2436924,7.94,2,"1<x<=4"
"72","Infections and Parasites","CO",2010,722,5029196,14.4,308745538,2468186,7.99,2,"1<x<=4"
"73","Infections and Parasites","CT",1999,845,3386401,25,279040168,2391143,8.57,3,"1<x<=4"
"74","Infections and Parasites","CT",2000,908,3405565,26.7,281421906,2403035,8.54,3,"1<x<=4"
"75","Infections and Parasites","CT",2001,897,3432835,26.1,284968955,2416093,8.48,3,"1<x<=4"
"76","Infections and Parasites","CT",2002,866,3458749,25,287625193,2443141,8.49,3,"1<x<=4"
"77","Infections and Parasites","CT",2003,983,3484336,28.2,290107933,2448007,8.44,3,"1<x<=4"
"78","Infections and Parasites","CT",2004,920,3496094,26.3,292805298,2397325,8.19,3,"1<x<=4"
"79","Infections and Parasites","CT",2005,1002,3506956,28.6,295516599,2447782,8.28,3,"1<x<=4"
"80","Infections and Parasites","CT",2006,996,3517460,28.3,298379912,2425990,8.13,3,"1<x<=4"
"81","Infections and Parasites","CT",2007,1055,3527270,29.9,301231207,2423460,8.05,4,"1<x<=4"
"82","Infections and Parasites","CT",2008,987,3545579,27.8,304093966,2471723,8.13,3,"1<x<=4"
"83","Infections and Parasites","CT",2009,1013,3561807,28.4,306771529,2436924,7.94,4,"1<x<=4"
"84","Infections and Parasites","CT",2010,1002,3574097,28,308745538,2468186,7.99,4,"1<x<=4"
"85","Infections and Parasites","DE",1999,209,774990,27,279040168,2391143,8.57,3,"1<x<=4"
"86","Infections and Parasites","DE",2000,255,783600,32.5,281421906,2403035,8.54,4,"1<x<=4"
"87","Infections and Parasites","DE",2001,234,795699,29.4,284968955,2416093,8.48,3,"1<x<=4"
"88","Infections and Parasites","DE",2002,262,806169,32.5,287625193,2443141,8.49,4,"1<x<=4"
"89","Infections and Parasites","DE",2003,247,818003,30.2,290107933,2448007,8.44,4,"1<x<=4"
"90","Infections and Parasites","DE",2004,242,830803,29.1,292805298,2397325,8.19,4,"1<x<=4"
"91","Infections and Parasites","DE",2005,251,845150,29.7,295516599,2447782,8.28,4,"1<x<=4"
"92","Infections and Parasites","DE",2006,222,859268,25.8,298379912,2425990,8.13,3,"1<x<=4"
"93","Infections and Parasites","DE",2007,231,871749,26.5,301231207,2423460,8.05,3,"1<x<=4"
"94","Infections and Parasites","DE",2008,276,883874,31.2,304093966,2471723,8.13,4,"1<x<=4"
"95","Infections and Parasites","DE",2009,257,891730,28.8,306771529,2436924,7.94,4,"1<x<=4"
"96","Infections and Parasites","DE",2010,250,897934,27.8,308745538,2468186,7.99,3,"1<x<=4"
"97","Infections and Parasites","DC",1999,457,570213,80.1,279040168,2391143,8.57,9,"5<x<=10"
"98","Infections and Parasites","DC",2000,434,572059,75.9,281421906,2403035,8.54,9,"5<x<=10"
"99","Infections and Parasites","DC",2001,374,574504,65.1,284968955,2416093,8.48,8,"5<x<=10"
"100","Infections and Parasites","DC",2002,403,573158,70.3,287625193,2443141,8.49,8,"5<x<=10"
"101","Infections and Parasites","DC",2003,405,568502,71.2,290107933,2448007,8.44,8,"5<x<=10"
"102","Infections and Parasites","DC",2004,395,567754,69.6,292805298,2397325,8.19,8,"5<x<=10"
"103","Infections and Parasites","DC",2005,399,567136,70.4,295516599,2447782,8.28,9,"5<x<=10"
"104","Infections and Parasites","DC",2006,386,570681,67.6,298379912,2425990,8.13,8,"5<x<=10"
"105","Infections and Parasites","DC",2007,351,574404,61.1,301231207,2423460,8.05,8,"5<x<=10"
"106","Infections and Parasites","DC",2008,329,580236,56.7,304093966,2471723,8.13,7,"5<x<=10"
"107","Infections and Parasites","DC",2009,302,592228,51,306771529,2436924,7.94,6,"5<x<=10"
"108","Infections and Parasites","DC",2010,258,601723,42.9,308745538,2468186,7.99,5,"1<x<=4"
"109","Infections and Parasites","FL",1999,4104,15759421,26,279040168,2391143,8.57,3,"1<x<=4"
"110","Infections and Parasites","FL",2000,4120,15982378,25.8,281421906,2403035,8.54,3,"1<x<=4"
"111","Infections and Parasites","FL",2001,4357,16356966,26.6,284968955,2416093,8.48,3,"1<x<=4"
"112","Infections and Parasites","FL",2002,4789,16689370,28.7,287625193,2443141,8.49,3,"1<x<=4"
"113","Infections and Parasites","FL",2003,4973,17004085,29.2,290107933,2448007,8.44,3,"1<x<=4"
"114","Infections and Parasites","FL",2004,5133,17415318,29.5,292805298,2397325,8.19,4,"1<x<=4"
"115","Infections and Parasites","FL",2005,5062,17842038,28.4,295516599,2447782,8.28,3,"1<x<=4"
"116","Infections and Parasites","FL",2006,5233,18166990,28.8,298379912,2425990,8.13,4,"1<x<=4"
"117","Infections and Parasites","FL",2007,4864,18367842,26.5,301231207,2423460,8.05,3,"1<x<=4"
"118","Infections and Parasites","FL",2008,4853,18527305,26.2,304093966,2471723,8.13,3,"1<x<=4"
"119","Infections and Parasites","FL",2009,4844,18652644,26,306771529,2436924,7.94,3,"1<x<=4"
"120","Infections and Parasites","FL",2010,4556,18801310,24.2,308745538,2468186,7.99,3,"1<x<=4"
"121","Infections and Parasites","GA",1999,2264,8045965,28.1,279040168,2391143,8.57,3,"1<x<=4"
"122","Infections and Parasites","GA",2000,2238,8186453,27.3,281421906,2403035,8.54,3,"1<x<=4"
"123","Infections and Parasites","GA",2001,2354,8377038,28.1,284968955,2416093,8.48,3,"1<x<=4"
"124","Infections and Parasites","GA",2002,2386,8508256,28,287625193,2443141,8.49,3,"1<x<=4"
"125","Infections and Parasites","GA",2003,2420,8622793,28.1,290107933,2448007,8.44,3,"1<x<=4"
"126","Infections and Parasites","GA",2004,2458,8769252,28,292805298,2397325,8.19,3,"1<x<=4"
"127","Infections and Parasites","GA",2005,2426,8925922,27.2,295516599,2447782,8.28,3,"1<x<=4"
"128","Infections and Parasites","GA",2006,2538,9155813,27.7,298379912,2425990,8.13,3,"1<x<=4"
"129","Infections and Parasites","GA",2007,2535,9349988,27.1,301231207,2423460,8.05,3,"1<x<=4"
"130","Infections and Parasites","GA",2008,2483,9504843,26.1,304093966,2471723,8.13,3,"1<x<=4"
"131","Infections and Parasites","GA",2009,2590,9620846,26.9,306771529,2436924,7.94,3,"1<x<=4"
"132","Infections and Parasites","GA",2010,2438,9687653,25.2,308745538,2468186,7.99,3,"1<x<=4"
"133","Infections and Parasites","HI",1999,250,1210300,20.7,279040168,2391143,8.57,2,"1<x<=4"
"134","Infections and Parasites","HI",2000,216,1211537,17.8,281421906,2403035,8.54,2,"1<x<=4"
"135","Infections and Parasites","HI",2001,241,1225948,19.7,284968955,2416093,8.48,2,"1<x<=4"
"136","Infections and Parasites","HI",2002,227,1239613,18.3,287625193,2443141,8.49,2,"1<x<=4"
"137","Infections and Parasites","HI",2003,229,1251154,18.3,290107933,2448007,8.44,2,"1<x<=4"
"138","Infections and Parasites","HI",2004,286,1273569,22.5,292805298,2397325,8.19,3,"1<x<=4"
"139","Infections and Parasites","HI",2005,253,1292729,19.6,295516599,2447782,8.28,2,"1<x<=4"
"140","Infections and Parasites","HI",2006,267,1309731,20.4,298379912,2425990,8.13,3,"1<x<=4"
"141","Infections and Parasites","HI",2007,249,1315675,18.9,301231207,2423460,8.05,2,"1<x<=4"
"142","Infections and Parasites","HI",2008,249,1332213,18.7,304093966,2471723,8.13,2,"1<x<=4"
"143","Infections and Parasites","HI",2009,216,1346717,16,306771529,2436924,7.94,2,"1<x<=4"
"144","Infections and Parasites","HI",2010,232,1360301,17.1,308745538,2468186,7.99,2,"1<x<=4"
"145","Infections and Parasites","ID",1999,125,1275674,9.8,279040168,2391143,8.57,1,"x<=1"
"146","Infections and Parasites","ID",2000,123,1293953,9.5,281421906,2403035,8.54,1,"x<=1"
"147","Infections and Parasites","ID",2001,115,1319962,8.7,284968955,2416093,8.48,1,"x<=1"
"148","Infections and Parasites","ID",2002,137,1340372,10.2,287625193,2443141,8.49,1,"x<=1"
"149","Infections and Parasites","ID",2003,124,1363380,9.1,290107933,2448007,8.44,1,"x<=1"
"150","Infections and Parasites","ID",2004,118,1391802,8.5,292805298,2397325,8.19,1,"x<=1"
"151","Infections and Parasites","ID",2005,138,1428241,9.7,295516599,2447782,8.28,1,"x<=1"
"152","Infections and Parasites","ID",2006,171,1468669,11.6,298379912,2425990,8.13,1,"x<=1"
"153","Infections and Parasites","ID",2007,150,1505105,10,301231207,2423460,8.05,1,"x<=1"
"154","Infections and Parasites","ID",2008,167,1534320,10.9,304093966,2471723,8.13,1,"x<=1"
"155","Infections and Parasites","ID",2009,165,1554439,10.6,306771529,2436924,7.94,1,"x<=1"
"156","Infections and Parasites","ID",2010,174,1567582,11.1,308745538,2468186,7.99,1,"x<=1"
"157","Infections and Parasites","IL",1999,2894,12359020,23.4,279040168,2391143,8.57,3,"1<x<=4"
"158","Infections and Parasites","IL",2000,2836,12419293,22.8,281421906,2403035,8.54,3,"1<x<=4"
"159","Infections and Parasites","IL",2001,2971,12488445,23.8,284968955,2416093,8.48,3,"1<x<=4"
"160","Infections and Parasites","IL",2002,3129,12525556,25,287625193,2443141,8.49,3,"1<x<=4"
"161","Infections and Parasites","IL",2003,3127,12556006,24.9,290107933,2448007,8.44,3,"1<x<=4"
"162","Infections and Parasites","IL",2004,3084,12589773,24.5,292805298,2397325,8.19,3,"1<x<=4"
"163","Infections and Parasites","IL",2005,3096,12609903,24.6,295516599,2447782,8.28,3,"1<x<=4"
"164","Infections and Parasites","IL",2006,3091,12643955,24.4,298379912,2425990,8.13,3,"1<x<=4"
"165","Infections and Parasites","IL",2007,3200,12695866,25.2,301231207,2423460,8.05,3,"1<x<=4"
"166","Infections and Parasites","IL",2008,3081,12747038,24.2,304093966,2471723,8.13,3,"1<x<=4"
"167","Infections and Parasites","IL",2009,3170,12796778,24.8,306771529,2436924,7.94,3,"1<x<=4"
"168","Infections and Parasites","IL",2010,3117,12830632,24.3,308745538,2468186,7.99,3,"1<x<=4"
"169","Infections and Parasites","IN",1999,1174,6044969,19.4,279040168,2391143,8.57,2,"1<x<=4"
"170","Infections and Parasites","IN",2000,1177,6080485,19.4,281421906,2403035,8.54,2,"1<x<=4"
"171","Infections and Parasites","IN",2001,1164,6127760,19,284968955,2416093,8.48,2,"1<x<=4"
"172","Infections and Parasites","IN",2002,1220,6155967,19.8,287625193,2443141,8.49,2,"1<x<=4"
"173","Infections and Parasites","IN",2003,1253,6196638,20.2,290107933,2448007,8.44,2,"1<x<=4"
"174","Infections and Parasites","IN",2004,1232,6233007,19.8,292805298,2397325,8.19,2,"1<x<=4"
"175","Infections and Parasites","IN",2005,1298,6278616,20.7,295516599,2447782,8.28,2,"1<x<=4"
"176","Infections and Parasites","IN",2006,1340,6332669,21.2,298379912,2425990,8.13,3,"1<x<=4"
"177","Infections and Parasites","IN",2007,1318,6379599,20.7,301231207,2423460,8.05,3,"1<x<=4"
"178","Infections and Parasites","IN",2008,1386,6424806,21.6,304093966,2471723,8.13,3,"1<x<=4"
"179","Infections and Parasites","IN",2009,1406,6459325,21.8,306771529,2436924,7.94,3,"1<x<=4"
"180","Infections and Parasites","IN",2010,1442,6483802,22.2,308745538,2468186,7.99,3,"1<x<=4"
"181","Infections and Parasites","IA",1999,382,2917634,13.1,279040168,2391143,8.57,2,"1<x<=4"
"182","Infections and Parasites","IA",2000,371,2926324,12.7,281421906,2403035,8.54,1,"x<=1"
"183","Infections and Parasites","IA",2001,398,2931997,13.6,284968955,2416093,8.48,2,"1<x<=4"
"184","Infections and Parasites","IA",2002,382,2934234,13,287625193,2443141,8.49,2,"1<x<=4"
"185","Infections and Parasites","IA",2003,362,2941999,12.3,290107933,2448007,8.44,1,"x<=1"
"186","Infections and Parasites","IA",2004,388,2953635,13.1,292805298,2397325,8.19,2,"1<x<=4"
"187","Infections and Parasites","IA",2005,360,2964454,12.1,295516599,2447782,8.28,1,"x<=1"
"188","Infections and Parasites","IA",2006,427,2982644,14.3,298379912,2425990,8.13,2,"1<x<=4"
"189","Infections and Parasites","IA",2007,435,2999212,14.5,301231207,2423460,8.05,2,"1<x<=4"
"190","Infections and Parasites","IA",2008,493,3016734,16.3,304093966,2471723,8.13,2,"1<x<=4"
"191","Infections and Parasites","IA",2009,462,3032870,15.2,306771529,2436924,7.94,2,"1<x<=4"
"192","Infections and Parasites","IA",2010,446,3046355,14.6,308745538,2468186,7.99,2,"1<x<=4"
"193","Infections and Parasites","KS",1999,430,2678338,16.1,279040168,2391143,8.57,2,"1<x<=4"
"194","Infections and Parasites","KS",2000,400,2688418,14.9,281421906,2403035,8.54,2,"1<x<=4"
"195","Infections and Parasites","KS",2001,433,2702162,16,284968955,2416093,8.48,2,"1<x<=4"
"196","Infections and Parasites","KS",2002,475,2713535,17.5,287625193,2443141,8.49,2,"1<x<=4"
"197","Infections and Parasites","KS",2003,495,2723004,18.2,290107933,2448007,8.44,2,"1<x<=4"
"198","Infections and Parasites","KS",2004,433,2734373,15.8,292805298,2397325,8.19,2,"1<x<=4"
"199","Infections and Parasites","KS",2005,437,2745299,15.9,295516599,2447782,8.28,2,"1<x<=4"
"200","Infections and Parasites","KS",2006,485,2762931,17.6,298379912,2425990,8.13,2,"1<x<=4"
"201","Infections and Parasites","KS",2007,473,2783785,17,301231207,2423460,8.05,2,"1<x<=4"
"202","Infections and Parasites","KS",2008,560,2808076,19.9,304093966,2471723,8.13,2,"1<x<=4"
"203","Infections and Parasites","KS",2009,610,2832704,21.5,306771529,2436924,7.94,3,"1<x<=4"
"204","Infections and Parasites","KS",2010,542,2853118,19,308745538,2468186,7.99,2,"1<x<=4"
"205","Infections and Parasites","KY",1999,838,4018053,20.9,279040168,2391143,8.57,2,"1<x<=4"
"206","Infections and Parasites","KY",2000,831,4041769,20.6,281421906,2403035,8.54,2,"1<x<=4"
"207","Infections and Parasites","KY",2001,873,4068132,21.5,284968955,2416093,8.48,3,"1<x<=4"
"208","Infections and Parasites","KY",2002,903,4089875,22.1,287625193,2443141,8.49,3,"1<x<=4"
"209","Infections and Parasites","KY",2003,835,4117170,20.3,290107933,2448007,8.44,2,"1<x<=4"
"210","Infections and Parasites","KY",2004,879,4146101,21.2,292805298,2397325,8.19,3,"1<x<=4"
"211","Infections and Parasites","KY",2005,875,4182742,20.9,295516599,2447782,8.28,3,"1<x<=4"
"212","Infections and Parasites","KY",2006,964,4219239,22.8,298379912,2425990,8.13,3,"1<x<=4"
"213","Infections and Parasites","KY",2007,988,4256672,23.2,301231207,2423460,8.05,3,"1<x<=4"
"214","Infections and Parasites","KY",2008,1059,4289878,24.7,304093966,2471723,8.13,3,"1<x<=4"
"215","Infections and Parasites","KY",2009,1125,4317074,26.1,306771529,2436924,7.94,3,"1<x<=4"
"216","Infections and Parasites","KY",2010,1098,4339367,25.3,308745538,2468186,7.99,3,"1<x<=4"
"217","Infections and Parasites","LA",1999,1385,4460811,31,279040168,2391143,8.57,4,"1<x<=4"
"218","Infections and Parasites","LA",2000,1436,4468976,32.1,281421906,2403035,8.54,4,"1<x<=4"
"219","Infections and Parasites","LA",2001,1426,4477875,31.8,284968955,2416093,8.48,4,"1<x<=4"
"220","Infections and Parasites","LA",2002,1487,4497267,33.1,287625193,2443141,8.49,4,"1<x<=4"
"221","Infections and Parasites","LA",2003,1500,4521042,33.2,290107933,2448007,8.44,4,"1<x<=4"
"222","Infections and Parasites","LA",2004,1540,4552238,33.8,292805298,2397325,8.19,4,"1<x<=4"
"223","Infections and Parasites","LA",2005,1608,4576628,35.1,295516599,2447782,8.28,4,"1<x<=4"
"224","Infections and Parasites","LA",2006,1401,4302665,32.6,298379912,2425990,8.13,4,"1<x<=4"
"225","Infections and Parasites","LA",2007,1480,4375581,33.8,301231207,2423460,8.05,4,"1<x<=4"
"226","Infections and Parasites","LA",2008,1463,4435586,33,304093966,2471723,8.13,4,"1<x<=4"
"227","Infections and Parasites","LA",2009,1459,4491648,32.5,306771529,2436924,7.94,4,"1<x<=4"
"228","Infections and Parasites","LA",2010,1336,4533372,29.5,308745538,2468186,7.99,4,"1<x<=4"
"229","Infections and Parasites","ME",1999,189,1266808,14.9,279040168,2391143,8.57,2,"1<x<=4"
"230","Infections and Parasites","ME",2000,188,1274923,14.7,281421906,2403035,8.54,2,"1<x<=4"
"231","Infections and Parasites","ME",2001,185,1285692,14.4,284968955,2416093,8.48,2,"1<x<=4"
"232","Infections and Parasites","ME",2002,223,1295960,17.2,287625193,2443141,8.49,2,"1<x<=4"
"233","Infections and Parasites","ME",2003,228,1306513,17.5,290107933,2448007,8.44,2,"1<x<=4"
"234","Infections and Parasites","ME",2004,299,1313688,22.8,292805298,2397325,8.19,3,"1<x<=4"
"235","Infections and Parasites","ME",2005,296,1318787,22.4,295516599,2447782,8.28,3,"1<x<=4"
"236","Infections and Parasites","ME",2006,291,1323619,22,298379912,2425990,8.13,3,"1<x<=4"
"237","Infections and Parasites","ME",2007,285,1327040,21.5,301231207,2423460,8.05,3,"1<x<=4"
"238","Infections and Parasites","ME",2008,266,1330509,20,304093966,2471723,8.13,2,"1<x<=4"
"239","Infections and Parasites","ME",2009,288,1329590,21.7,306771529,2436924,7.94,3,"1<x<=4"
"240","Infections and Parasites","ME",2010,276,1328361,20.8,308745538,2468186,7.99,3,"1<x<=4"
"241","Infections and Parasites","MD",1999,1886,5254509,35.9,279040168,2391143,8.57,4,"1<x<=4"
"242","Infections and Parasites","MD",2000,1779,5296486,33.6,281421906,2403035,8.54,4,"1<x<=4"
"243","Infections and Parasites","MD",2001,1839,5374691,34.2,284968955,2416093,8.48,4,"1<x<=4"
"244","Infections and Parasites","MD",2002,1962,5440389,36.1,287625193,2443141,8.49,4,"1<x<=4"
"245","Infections and Parasites","MD",2003,2076,5496269,37.8,290107933,2448007,8.44,4,"1<x<=4"
"246","Infections and Parasites","MD",2004,1972,5546935,35.6,292805298,2397325,8.19,4,"1<x<=4"
"247","Infections and Parasites","MD",2005,2017,5592379,36.1,295516599,2447782,8.28,4,"1<x<=4"
"248","Infections and Parasites","MD",2006,1902,5627367,33.8,298379912,2425990,8.13,4,"1<x<=4"
"249","Infections and Parasites","MD",2007,1820,5653408,32.2,301231207,2423460,8.05,4,"1<x<=4"
"250","Infections and Parasites","MD",2008,1924,5684965,33.8,304093966,2471723,8.13,4,"1<x<=4"
"251","Infections and Parasites","MD",2009,1967,5730388,34.3,306771529,2436924,7.94,4,"1<x<=4"
"252","Infections and Parasites","MD",2010,1693,5773552,29.3,308745538,2468186,7.99,4,"1<x<=4"
"253","Infections and Parasites","MA",1999,1471,6317345,23.3,279040168,2391143,8.57,3,"1<x<=4"
"254","Infections and Parasites","MA",2000,1406,6349097,22.1,281421906,2403035,8.54,3,"1<x<=4"
"255","Infections and Parasites","MA",2001,1488,6397634,23.3,284968955,2416093,8.48,3,"1<x<=4"
"256","Infections and Parasites","MA",2002,1534,6417206,23.9,287625193,2443141,8.49,3,"1<x<=4"
"257","Infections and Parasites","MA",2003,1552,6422565,24.2,290107933,2448007,8.44,3,"1<x<=4"
"258","Infections and Parasites","MA",2004,1543,6412281,24.1,292805298,2397325,8.19,3,"1<x<=4"
"259","Infections and Parasites","MA",2005,1598,6403290,25,295516599,2447782,8.28,3,"1<x<=4"
"260","Infections and Parasites","MA",2006,1556,6410084,24.3,298379912,2425990,8.13,3,"1<x<=4"
"261","Infections and Parasites","MA",2007,1496,6431559,23.3,301231207,2423460,8.05,3,"1<x<=4"
"262","Infections and Parasites","MA",2008,1476,6468967,22.8,304093966,2471723,8.13,3,"1<x<=4"
"263","Infections and Parasites","MA",2009,1496,6517613,23,306771529,2436924,7.94,3,"1<x<=4"
"264","Infections and Parasites","MA",2010,1551,6547629,23.7,308745538,2468186,7.99,3,"1<x<=4"
"265","Infections and Parasites","MI",1999,1841,9897116,18.6,279040168,2391143,8.57,2,"1<x<=4"
"266","Infections and Parasites","MI",2000,1705,9938444,17.2,281421906,2403035,8.54,2,"1<x<=4"
"267","Infections and Parasites","MI",2001,1551,9991120,15.5,284968955,2416093,8.48,2,"1<x<=4"
"268","Infections and Parasites","MI",2002,1681,10015710,16.8,287625193,2443141,8.49,2,"1<x<=4"
"269","Infections and Parasites","MI",2003,1603,10041152,16,290107933,2448007,8.44,2,"1<x<=4"
"270","Infections and Parasites","MI",2004,1569,10055315,15.6,292805298,2397325,8.19,2,"1<x<=4"
"271","Infections and Parasites","MI",2005,1777,10051137,17.7,295516599,2447782,8.28,2,"1<x<=4"
"272","Infections and Parasites","MI",2006,1737,10036081,17.3,298379912,2425990,8.13,2,"1<x<=4"
"273","Infections and Parasites","MI",2007,1769,10001284,17.7,301231207,2423460,8.05,2,"1<x<=4"
